Model Number,Case Style,Subcategories,F Low (MHz),F High (MHz),Gain (dB) Typ.,NF (dB) Typ.,Power Out (dBm) @ 1dB Comp. Typ.,Out. IP3 (dBm) Typ.,Input VSWR (:1) Typ.,Output VSWR (:1) Typ.,Voltage (V),DC Current (mA),Connector Type,Option,Interface,Impedance (Ohms),
GALI-39+,DF782,Low Noise Amplifier,DC,7000,19.7,2.4,9,22.9,1.6,1.5,3.5,35,-,-,SMT,50,Y
GALI-52+,DF782,Low Noise Amplifier,DC,2000,17.8,2.7,15.5,32,1.35,1.4,4.4,50,-,-,SMT,50,Y
GALI-74+,DF782,Low Noise Amplifier,DC,1000,21.8,2.7,18.3,38,1.2,1.6,4.8,80,-,-,SMT,50,Y
GALI-S66+,DF782,Low Noise Amplifier,DC,3000,18.2,2.4,3.3,19.1,1.1,1.2,3.5,16,-,-,SMT,50,Y
LEE-39+,FG873,Low Noise Amplifier,DC,8000,20.8,2.4,10.4,23.4,1.3,1.3,3.5,35,-,-,SMT,50,Y
LEE2-6+,MC1630-1,Low Noise Amplifier,DC,7000,18.9,2.3,2.8,17.6,1.33,1.54,3.6,16,-,-,SMT,50,Y
LHA-13HLN+,DQ1225,Low Noise Amplifier,1,1000,22.7,1.2,28,43.3,1.28,1.32,8,239,-,-,SMT,50,N
LHA-13LN+,DQ1225,Low Noise Amplifier,1,1000,22.4,1.1,23.3,38.3,1.28,1.28,5/3,143/73,-,-,SMT,50,N
MAR-6SM+,WW107,Low Noise Amplifier,DC,2000,20.2,2.3,3.7,18.1,1.2,1.2,3.5,16,-,-,SMT,50,Y
PHA-13HLN+,DF782,Low Noise Amplifier,1,1000,22.7,1.1,28.7,43,1.3,1.3,8,234,-,-,SMT,50,Y
PHA-13LN+,DF782,Low Noise Amplifier,1,1000,22.4,1,24.5,39,1.3,1.3,5.0/3/0,138/71,-,-,SMT,50,Y
PSA-8A+,CA1389,Low Noise Amplifier,DC,4000,31,3,12.8,25.8,1.28,1.25,5,36,-,-,SMT,50,Y
PSA-39+,CA1389,Low Noise Amplifier,DC,6000,23,2.2,10.7,23.3,1.28,1.22,5,32,-,-,SMT,50,Y
RAM-6A+,AF190,Low Noise Amplifier,DC,2000,19.7,2.3,3.2,17.3,1.2,1.2,3.5,16,-,-,SMT,50,Y
RAM-8A+,AF190,Low Noise Amplifier,DC,1000,28,2.6,12.6,24.4,1.6,1.8,3.7,36,-,-,SMT,50,Y
TSS-13HLN+,DQ1225,Low Noise Amplifier,1,1000,23,1.4,28.4,42.9,1.43,1.37,8,234,-,-,SMT,50,Y
TSS-13LN+,DQ1225,Low Noise Amplifier,1,1000,22.8,1.1,24.5,39.2,1.28,1.32,5/3,142/72,-,-,SMT,50,Y
